timestamp,views
2020-01-01,2341
2020-01-02,2067
2020-01-03,1931
2020-01-04,1788
2020-01-05,2090
2020-01-06,2118
2020-01-07,2010
2020-01-08,1932
2020-01-09,1907
2020-01-10,1807
2020-01-11,1649
2020-01-12,1819
2020-01-13,1977
2020-01-14,1899
2020-01-15,1970
2020-01-16,1947
2020-01-17,1762
2020-01-18,1676
2020-01-19,1833
2020-01-20,2176
2020-01-21,2043
2020-01-22,2016
2020-01-23,1863
2020-01-24,1729
2020-01-25,1702
2020-01-26,1723
2020-01-27,1929
2020-01-28,2024
2020-01-29,1914
2020-01-30,1943
2020-01-31,1839
2020-02-01,1547
2020-02-02,1761
2020-02-03,1848
2020-02-04,2759
2020-02-05,2626
2020-02-06,1811
2020-02-07,2178
2020-02-08,1600
2020-02-09,1800
2020-02-10,1922
2020-02-11,1989
2020-02-12,1914
2020-02-13,2122
2020-02-14,2996
2020-02-15,2074
2020-02-16,1861
2020-02-17,1984
2020-02-18,1916
2020-02-19,1887
2020-02-20,1940
2020-02-21,1661
2020-02-22,1614
2020-02-23,1782
2020-02-24,1864
2020-02-25,1932
2020-02-26,1903
2020-02-27,1819
2020-02-28,1693
2020-02-29,1660
2020-03-01,1876
2020-03-02,1823
2020-03-03,1824
2020-03-04,1762
2020-03-05,1752
2020-03-06,1639
2020-03-07,1474
2020-03-08,1648
2020-03-09,1748
2020-03-10,1732
2020-03-11,1573
2020-03-12,1504
2020-03-13,1488
2020-03-14,1413
2020-03-15,1381
2020-03-16,1651
2020-03-17,1631
2020-03-18,1621
2020-03-19,2215
2020-03-20,2266
2020-03-21,1548
2020-03-22,1609
2020-03-23,1716
2020-03-24,1705
2020-03-25,1789
2020-03-26,1887
2020-03-27,1698
2020-03-28,1627
2020-03-29,1794
2020-03-30,1799
2020-03-31,2206
2020-04-01,2649
2020-04-02,1959
2020-04-03,1787
2020-04-04,1995
2020-04-05,1716
2020-04-06,1927
2020-04-07,2642
2020-04-08,2445
2020-04-09,2119
2020-04-10,2158
2020-04-11,2203
2020-04-12,2768
2020-04-13,2382
2020-04-14,2045
2020-04-15,1969
2020-04-16,2100
2020-04-17,2159
2020-04-18,1846
2020-04-19,1849
2020-04-20,2113
2020-04-21,2029
2020-04-22,2240
2020-04-23,2099
2020-04-24,2043
2020-04-25,1848
2020-04-26,1894
2020-04-27,2513
2020-04-28,2337
2020-04-29,2208
2020-04-30,2133
2020-05-01,2083
2020-05-02,1817
2020-05-03,1991
2020-05-04,2063
2020-05-05,2484
2020-05-06,3884
2020-05-07,3381
2020-05-08,2433
2020-05-09,2098
2020-05-10,2136
2020-05-11,2006
2020-05-12,1925
2020-05-13,2042
2020-05-14,1888
2020-05-15,1810
2020-05-16,1691
2020-05-17,1812
2020-05-18,1926
2020-05-19,1920
2020-05-20,1882
2020-05-21,1923
2020-05-22,1850
2020-05-23,1886
2020-05-24,1876
2020-05-25,2140
2020-05-26,1978
2020-05-27,1792
2020-05-28,1841
2020-05-29,1701
2020-05-30,1504
2020-05-31,1557
2020-06-01,1739
2020-06-02,1747
2020-06-03,1686
2020-06-04,1699
2020-06-05,1741
2020-06-06,1527
2020-06-07,1576
2020-06-08,1761
