timestamp,views,es_halloween,semana_halloween,dias_para_halloween,views_lag7
2020-01-15,1970,0,0,290,1932.0
2020-01-16,1947,0,0,289,1907.0
2020-01-17,1762,0,0,288,1807.0
2020-01-18,1676,0,0,287,1649.0
2020-01-19,1833,0,0,286,1819.0
2020-01-20,2176,0,0,285,1977.0
2020-01-21,2043,0,0,284,1899.0
2020-01-22,2016,0,0,283,1970.0
2020-01-23,1863,0,0,282,1947.0
2020-01-24,1729,0,0,281,1762.0
2020-01-25,1702,0,0,280,1676.0
2020-01-26,1723,0,0,279,1833.0
2020-01-27,1929,0,0,278,2176.0
2020-01-28,2024,0,0,277,2043.0
2020-01-29,1914,0,0,276,2016.0
2020-01-30,1943,0,0,275,1863.0
2020-01-31,1839,0,0,274,1729.0
2020-02-01,1547,0,0,273,1702.0
2020-02-02,1761,0,0,272,1723.0
2020-02-03,1848,0,0,271,1929.0
2020-02-04,2759,0,0,270,2024.0
2020-02-05,2626,0,0,269,1914.0
2020-02-06,1811,0,0,268,1943.0
2020-02-07,2178,0,0,267,1839.0
2020-02-08,1600,0,0,266,1547.0
2020-02-09,1800,0,0,265,1761.0
2020-02-10,1922,0,0,264,1848.0
2020-02-11,1989,0,0,263,2759.0
2020-02-12,1914,0,0,262,2626.0
2020-02-13,2122,0,0,261,1811.0
2020-02-14,2996,0,0,260,2178.0
2020-02-15,2074,0,0,259,1600.0
2020-02-16,1861,0,0,258,1800.0
2020-02-17,1984,0,0,257,1922.0
2020-02-18,1916,0,0,256,1989.0
2020-02-19,1887,0,0,255,1914.0
2020-02-20,1940,0,0,254,2122.0
2020-02-21,1661,0,0,253,2996.0
2020-02-22,1614,0,0,252,2074.0
2020-02-23,1782,0,0,251,1861.0
2020-02-24,1864,0,0,250,1984.0
2020-02-25,1932,0,0,249,1916.0
2020-02-26,1903,0,0,248,1887.0
2020-02-27,1819,0,0,247,1940.0
2020-02-28,1693,0,0,246,1661.0
2020-02-29,1660,0,0,245,1614.0
2020-03-01,1876,0,0,244,1782.0
2020-03-02,1823,0,0,243,1864.0
2020-03-03,1824,0,0,242,1932.0
2020-03-04,1762,0,0,241,1903.0
2020-03-05,1752,0,0,240,1819.0
2020-03-06,1639,0,0,239,1693.0
2020-03-07,1474,0,0,238,1660.0
2020-03-08,1648,0,0,237,1876.0
2020-03-09,1748,0,0,236,1823.0
2020-03-10,1732,0,0,235,1824.0
2020-03-11,1573,0,0,234,1762.0
2020-03-12,1504,0,0,233,1752.0
2020-03-13,1488,0,0,232,1639.0
2020-03-14,1413,0,0,231,1474.0
2020-03-15,1381,0,0,230,1648.0
2020-03-16,1651,0,0,229,1748.0
2020-03-17,1631,0,0,228,1732.0
2020-03-18,1621,0,0,227,1573.0
2020-03-19,2215,0,0,226,1504.0
2020-03-20,2266,0,0,225,1488.0
2020-03-21,1548,0,0,224,1413.0
2020-03-22,1609,0,0,223,1381.0
2020-03-23,1716,0,0,222,1651.0
2020-03-24,1705,0,0,221,1631.0
2020-03-25,1789,0,0,220,1621.0
2020-03-26,1887,0,0,219,2215.0
2020-03-27,1698,0,0,218,2266.0
2020-03-28,1627,0,0,217,1548.0
2020-03-29,1794,0,0,216,1609.0
2020-03-30,1799,0,0,215,1716.0
2020-03-31,2206,0,0,214,1705.0
2020-04-01,2649,0,0,213,1789.0
2020-04-02,1959,0,0,212,1887.0
2020-04-03,1787,0,0,211,1698.0
2020-04-04,1995,0,0,210,1627.0
2020-04-05,1716,0,0,209,1794.0
2020-04-06,1927,0,0,208,1799.0
2020-04-07,2642,0,0,207,2206.0
2020-04-08,2445,0,0,206,2649.0
2020-04-09,2119,0,0,205,1959.0
2020-04-10,2158,0,0,204,1787.0
2020-04-11,2203,0,0,203,1995.0
2020-04-12,2768,0,0,202,1716.0
2020-04-13,2382,0,0,201,1927.0
2020-04-14,2045,0,0,200,2642.0
2020-04-15,1969,0,0,199,2445.0
2020-04-16,2100,0,0,198,2119.0
2020-04-17,2159,0,0,197,2158.0
2020-04-18,1846,0,0,196,2203.0
2020-04-19,1849,0,0,195,2768.0
2020-04-20,2113,0,0,194,2382.0
2020-04-21,2029,0,0,193,2045.0
